star 30 red 1988919999999999913189181489152.000000 1153.183649 26.357254 0.006231 0.000211 
3660000.0 star red 1.98892e+30 114885.13972122893 28380.10929887633 0.0597057391941233 0.022719564425759547
3660000.0 planet green 5.974e+24 111351363894.48499 99473028358.43315 -19877.793571807102 22195.989943474764
3800000.0 star red 1.98892e+30 123392.13081095506 31695.62357649535 0.06155127307480633 0.02441178126718992
3800000.0 planet green 5.974e+24 108519136790.6721 102535596310.04982 -20492.225986599213 21632.601272524356
3950000.0 star red 1.98892e+30 132789.08964567623 35515.610010095836 0.0634756953261854 0.026281673813469776
3950000.0 planet green 5.974e+24 105390613294.59685 105727810669.35399 -21132.92265620296 21010.059142770933
4110000.0 star red 1.98892e+30 143125.20677879974 39905.0036723814 0.06546612481113007 0.02833918588252184
4110000.0 planet green 5.974e+24 101949416426.76761 109028052644.11244 -21795.595071870215 20325.052965271934
4260000.0 star red 1.98892e+30 153099.35727129996 44324.026577012795 0.06727196044385028 0.030325340040838037
4260000.0 planet green 5.974e+24 98628728881.14597 112020830174.16272 -22396.8107743526 19663.803931365295
4550000.0 star red 1.98892e+30 173128.35971176843 53732.194766693065 0.07059187510002957 0.0343156597316367
4550000.0 planet green 5.974e+24 91960485905.93735 117518974754.70859 -23502.10783795622 18335.309348267994
4720000.0 star red 1.98892e+30 185304.6920201088 59795.5379519786 0.07242930643138569 0.03674271383996397
4720000.0 planet green 5.974e+24 87906627376.5259 120559509785.16083 -24113.842676182016 17527.27177593216
4870000.0 star red 1.98892e+30 196301.85173656244 65492.74457274732 0.07398165873194514 0.03893547054855367
4870000.0 planet green 5.974e+24 84245350024.12402 123126742427.91623 -24630.666334974896 16797.2386870724
5030000.0 star red 1.98892e+30 208282.3928321186 71936.80529182557 0.07556461011188337 0.04132508068705955
5030000.0 planet green 5.974e+24 80256676137.9885 125742925413.28796 -25157.67732569916 16001.667311666126
5190000.0 star red 1.98892e+30 220509.30935329225 78767.73129266799 0.0770706903670588 0.04376463924233635
5190000.0 planet green 5.974e+24 76185976638.94385 128230309587.77817 -25659.09566201042 15189.466641803192
5340000.0 star red 1.98892e+30 232184.74033537207 85529.99295428752 0.07841141238164442 0.04609490314565937
5340000.0 planet green 5.974e+24 72298882867.78917 130442954136.81927 -26105.4613850184 14413.653370528134
5480000.0 star red 1.98892e+30 243258.09549928686 92159.748029563 0.07959943563916942 0.04830565207484879
5480000.0 planet green 5.974e+24 68612237813.78626 132402114018.92223 -26500.9892084795 13677.630143169008
5640000.0 star red 1.98892e+30 256110.43767039746 100119.102104666 0.0808810531757436 0.050872345989635845
5640000.0 planet green 5.974e+24 64333315753.02875 134513811356.20815 -26927.677315416746 12823.102379359458
5930000.0 star red 1.98892e+30 279899.8998819552 115605.79888785063 0.08299280802429457 0.055625399408044215
5930000.0 planet green 5.974e+24 56413105310.810555 137988235298.9581 -27630.742506809456 11240.67134404965
6080000.0 star red 1.98892e+30 292433.3491973537 124162.17947400945 0.08397627863107257 0.05813063529770173
6080000.0 planet green 5.974e+24 52240352044.59323 139603564981.6794 -27958.168747056006 10406.604761247907
6270000.0 star red 1.98892e+30 308510.1863907226 135543.83419422206 0.08511360265164349 0.06134522086264602
6270000.0 planet green 5.974e+24 46887900917.93854 141468677953.5366 -28336.817305976987 9336.374844637767
